120
81  82  1.180 250.000  20000  0.000 0.000  20250  0.000 0.000

82  83  1.180 250.000  20250  0.000 0.000  20500  0.000 0.000

83  84  1.180 250.000  20500  0.000 0.000  20750  0.000 0.000

84  85  1.180 250.000  20750  0.000 0.000  21000  0.000 0.000

85  86  1.180 250.000  21000  0.000 0.000  21250  0.000 0.000

86  87  1.180 250.000  21250  0.000 0.000  21500  0.000 0.000

87  88  1.180 250.000  21500  0.000 0.000  21750  0.000 0.000

88  89  1.180 250.000  21750  0.000 0.000  22000  0.000 0.000

89  90  1.180 250.000  22000  0.000 0.000  22250  0.000 0.000

90  91  1.180 250.000  22250  0.000 0.000  22500  0.000 0.000

91  92  1.180 250.000  22500  0.000 0.000  22750  0.000 0.000

92  93  1.180 250.000  22750  0.000 0.000  23000  0.000 0.000

93  94  1.180 250.000  23000  0.000 0.000  23250  0.000 0.000

94  95  1.180 250.000  23250  0.000 0.000  23500  0.000 0.000

95  96  1.180 250.000  23500  0.000 0.000  23750  0.000 0.000

96  97  1.180 250.000  23750  0.000 0.000  24000  0.000 0.000

97  98  1.180 250.000  24000  0.000 0.000  24250  0.000 0.000

98  99  1.180 250.000  24250  0.000 0.000  24500  0.000 0.000

99  100  1.180 250.000  24500  0.000 0.000  24750  0.000 0.000

100  101  1.180 250.000  24750  0.000 0.000  25000  0.000 0.000

101  102  1.180 250.000  25000  0.000 0.000  25250  0.000 0.000

102  103  1.180 250.000  25250  0.000 0.000  25500  0.000 0.000

103  104  1.180 250.000  25500  0.000 0.000  25750  0.000 0.000

104  105  1.180 250.000  25750  0.000 0.000  26000  0.000 0.000

105  106  1.180 250.000  26000  0.000 0.000  26250  0.000 0.000

106  107  1.180 250.000  26250  0.000 0.000  26500  0.000 0.000

107  108  1.180 250.000  26500  0.000 0.000  26750  0.000 0.000

108  109  1.180 250.000  26750  0.000 0.000  27000  0.000 0.000

109  110  1.180 250.000  27000  0.000 0.000  27250  0.000 0.000

110  111  1.180 250.000  27250  0.000 0.000  27500  0.000 0.000

111  112  1.180 250.000  27500  0.000 0.000  27750  0.000 0.000

112  113  1.180 250.000  27750  0.000 0.000  28000  0.000 0.000

113  114  1.180 250.000  28000  0.000 0.000  28250  0.000 0.000

114  115  1.180 250.000  28250  0.000 0.000  28500  0.000 0.000

115  116  1.180 250.000  28500  0.000 0.000  28750  0.000 0.000

116  117  1.180 250.000  28750  0.000 0.000  29000  0.000 0.000

117  118  1.180 250.000  29000  0.000 0.000  29250  0.000 0.000

118  119  1.180 250.000  29250  0.000 0.000  29500  0.000 0.000

119  120  1.180 250.000  29500  0.000 0.000  29750  0.000 0.000

120  0  1.180 250.000  29750  0.000 0.000  30000  0.000 0.000
