25
1  2  1.180 50.000 0.000 0.000 0.000 50.000 0.000 0.000
2  3  1.180 50.000 50.000 0.000 0.000 100.000 0.000 0.000
3  4  1.180 100.000 50.000 0.000 0.000 150.000 0.000 0.000
4  5  1.180 150.000 50.000 0.000 0.000 200.000 0.000 0.000
5  6  1.180 200.000 50.000 0.000 0.000 250.000 0.000 0.000
6  7  1.180 250.000 50.000 0.000 0.000 300.000 0.000 0.000
7  8  1.180 300.000 50.000 0.000 0.000 350.000 0.000 0.000
8  9  1.180 350.000 50.000 0.000 0.000 400.000 0.000 0.000
9  10  1.180 400.000 50.000 0.000 0.000 450.000 0.000 0.000
10  11  1.180 450.000 50.000 0.000 0.000 500.000 0.000 0.000
11  12  1.180 500.000 50.000 0.000 0.000 550.000 0.000 0.000
12  13  1.180 550.000 50.000 0.000 0.000 600.000 0.000 0.000
13  14  1.180 600.000 50.000 0.000 0.000 750.000 0.000 0.000
14  15  1.180 750.000 50.000 0.000 0.000 800.000 0.000 0.000
15  16  1.180 800.000 50.000 0.000 0.000 850.000 0.000 0.000
16  17  1.180 850.000 50.000 0.000 0.000 900.000 0.000 0.000
17  18  1.180 900.000 50.000 0.000 0.000 950.000 0.000 0.000
18  19  1.180 950.000 50.000 0.000 0.000 1000.000 0.000 0.000
19  20  1.180 1000.000 100.000 0.000 0.000 1100.000 0.000 0.000
20  21  1.180 1100.000 100.000 0.000 0.000 1200.000 0.000 0.000
21  22  1.180 1200.000 100.000 0.000 0.000 1300.000 0.000 0.000
22  23  1.180 1300.000 100.000 0.000 0.000 1400.000 0.000 0.000
23  24  1.180 1400.000 100.000 0.000 0.000 1500.000 0.000 0.000
24  25  1.180 1500.000 100.000 0.000 0.000 1600.000 0.000 0.000
25  0  1.180 1600.000 100.000 0.000 0.000 1700.000 0.000 0.000
