17
1  2  0  0  2.180 3.000 0.000 0.000 0.000 4.092 -0.346 0.932
2  3  0  0  2.180 2.000 4.092 -0.346 0.932 6.092 -0.346 0.932
3  4  0  0  2.180 2.000 6.092 -0.346 0.932 8.092 -0.346 0.932
4  5  0  0  2.180 2.000 8.092 -0.346 0.932 10.092 -0.346 0.932
5  6  0  0  2.180 2.000 10.092 -0.346 0.9320 12.092 -0.346 0.932
6  7  0  0  2.180 2.000 12.092 -0.346 0.932 14.092 -0.346 0.932
7  8  0  0  2.180 2.000 14.092 -0.346 0.932 16.092 -0.346 0.932
8  9  10  11  3.180 3.000 16.092 -0.346 0.932 18.092 -0.346 1.932
9  12  0  0  1.200 10.000 18.092 -0.346 0.932 31.954 -2.020 10.705
10  14  0  0  1.200 10.000 18.092 -0.346 0.932 25.216 3.594 4.024
11  16  0  0  1.260 10.000 18.092 -0.346 0.932 30.545 0.317 3.276 
12  13  0  0  1.200 10.000 31.954 -2.020 10.705 42.954 -4.020 18.705
13  0  0  0  1.200 10.000 42.954 -4.020 18.705 55.954 -6.020 25.705
14 15  0  0  1.200 10.000 25.216 3.594 2.024 40.216 11.594 8.024
15 0  0  0  1.200 10.000 40.216 11.594 4.024 52.216 16.594 14.024
16  17  0  0  1.200 10.000 30.545 0.317 3.276 40.545 0.317 4.276
17  0  0  0  1.200 10.000 40.545 0.317 4.276 58.545 1.317 5.276
